genere_id,name
0005b3cb-9411-4b61-bd56-5b9622f8e4bb,Romance
000def53-9f59-49cc-a3fa-9bfe4473a795,History
0044c85a-6298-4dc2-9c5f-67cb36aa43ea,Comedy
005ebcc4-0850-45e8-942a-4afa973b389a,Thriller
007567bf-6a5c-4445-9843-954360b0a5c0,Action
0077fba2-fdf3-4c64-b4bb-afd639a88e5d,Comedy
0098e083-81c3-4178-8a17-95d7ad27fabc,Comedy
00a4bc2a-d534-4b6e-b281-b1efc1adaf4e,Adventure
00ae7acf-0672-4f44-bce4-bb92f1fa94ef,Drama
00c87de7-cd97-48ed-a31a-a6df1e101332,Comedy
00fab1db-abd0-4a49-9aa5-e20fce392b27,Fantasy
013e7ba0-1e38-4af4-89f5-7400164f115c,Biography
0158d657-ea84-4f7c-887b-8b1a5f626e12,Thriller
018eb685-e024-4323-b7f9-d9fd4a758ace,Action
019142d0-4f9c-4536-8c41-d09f03c9c673,Drama
02291daf-7a11-4731-8baa-9cea9e2c1df9,Drama
022e97e7-e04b-4a3f-96f1-565409ab52a9,Mystery
0268c97d-dfd2-4038-9d0d-e8dd385414c5,Adventure
02a0919f-4372-4929-8b2c-d7e97d92cce7,Family
02c280cb-76e0-4d57-b322-0b4b808e6e55,Adventure
02e6c3ed-8fc6-4944-908b-fba84ed6f27d,Western
02fc691e-7781-4f5f-a296-6e7e4eefd354,Adventure
0332d979-1ae0-4559-90f9-138827e1bcb3,Action
0351435b-32c2-454d-8f30-16abc4a78f21,Romance
03520acb-dc79-4376-891b-4b139c27c7a4,Animation
03964b13-63b7-4638-b6f8-3b24b84a2de2,Adventure
0398dde1-822f-4aa2-9904-f982c69c1814,Drama
03c49ba3-6d4f-44e0-acba-6e1d4a44c6c9,Thriller
03ca77ca-0e94-47fc-9cfb-720ced2a1b15,Drama
03d23f87-4dba-424e-a0d6-2662bc6f2b5b,History
03ddb69f-539b-46dd-9c03-eb3d26a739a5,Drama
041f6bc1-c91a-43d0-acf8-0c5850f4f6b0,Comedy
0434bed5-5209-4675-8c8a-b1a0e8fb11a3,Romance
044f4560-85ca-4fbd-b102-5539641d5769,Adventure
04c00596-1802-4968-ae83-eb1231e52cda,Animation
04d92fb1-28c9-4e60-b51f-3245355c12df,Sci-Fi
04e51b58-4e9a-40ac-a044-a4fbc5a4bec1,Romance
050cd4be-59bb-495b-b8a1-17ccb64ba994,Animation
0523d899-eae1-4d3f-911a-522bdf997c52,Sci-Fi
052bf996-05fc-4061-b223-21ac935d0597,Drama
054a8305-4624-4ea4-bd6a-66ab0a205a73,Romance
0552aeb0-6bf1-4a9a-8cec-c8650f6677e5,Drama
05624d8a-2452-4d88-a005-f1b59e014935,Comedy
0584ce2e-2357-4895-b146-c3026edd07c7,Drama
05abc063-1e47-4171-b728-97051bfa56b1,Horror
05d0aea2-f5d0-4324-abfc-7d607ad0bf38,Fantasy
05e44712-0a09-4aa8-8a30-b378b94c268f,Adventure
05e9a506-763f-4b2f-ada8-97a562bba6a0,Thriller
06164a74-14bd-43c9-a045-cf8b7974cc6d,Fantasy
061fb88a-a21f-4caa-9e6f-0e98150eb56c,Mystery
06236fd0-a139-4766-a226-f1b18ce58447,Comedy
06341894-9a7b-4a3f-86f3-7dd22753efde,Drama
0688fd2a-2803-4ff0-96b9-f669a1934fe3,Thriller
068946b5-38c0-48e0-aeb2-1287b2e1fafe,Comedy
069fa2fc-666c-47f5-938f-ff7203bff058,Adventure
06bba74d-177c-458f-8880-e8b8313939f7,Drama
